       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944723        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686585          18.79452795        -156.03041541        -137.23588745
    2600          61.65941061          19.66606402        -156.94491184        -137.27884783
    2700          58.81987811          18.76040457        -156.07031128        -137.30990671
    2800          53.15475443          16.95353220        -154.26693032        -137.31339812
    2900          54.95193296          17.52673632        -154.82877246        -137.30203614
    3000          55.99963561          17.86089760        -155.23428952        -137.37339192
    3100          56.97370011          18.17157223        -155.46229995        -137.29072771
    3200          54.82661000          17.48676498        -154.82426008        -137.33749510
    3300          58.17829165          18.55577270        -155.99088373        -137.43511103
    3400          57.28761211          18.27169342        -155.64132183        -137.36962841
    3500          55.43526996          17.68089505        -155.09613404        -137.41523899
    3600          55.08690079          17.56978386        -155.00142662        -137.43164276
    3700          56.84772839          18.13139397        -155.56340360        -137.43200962
    3800          51.62384390          16.46525338        -153.98190460        -137.51665121
    3900          52.18967741          16.64572410        -154.10777832        -137.46205422
    4000          52.04648549          16.60005351        -153.99307814        -137.39302463
    4100          56.74206056          18.09769157        -155.56861894        -137.47092737
    4200          51.99679454          16.58420475        -154.04240130        -137.45819655
    4300          51.52534103          16.43383622        -153.89639582        -137.46255960
    4400          53.08876973          16.93248660        -154.37595839        -137.44347179
    4500          55.28544582          17.63310914        -154.99823408        -137.36512494
    4600          50.52336583          16.11425956        -153.47878303        -137.36452347
    4700          54.83939958          17.49084418        -154.83185215        -137.34100797
    4800          51.58263213          16.45210902        -153.90301099        -137.45090197
    4900          44.23233425          14.10775595        -151.46321046        -137.35545451
    5000          51.62803512          16.46659016        -153.90227806        -137.43568790
    5100          52.16882179          16.63907227        -154.07030084        -137.43122857
    5200          52.20891492          16.65185984        -153.98497775        -137.33311791
    5300          55.37763677          17.66251314        -155.03915147        -137.37663833
    5400          51.99623692          16.58402690        -154.00738648        -137.42335958
    5500          49.38623765          15.75157631        -153.06200962        -137.31043331
    5600          52.04879244          16.60078931        -154.03298752        -137.43219821
    5700          50.47221382          16.09794480        -153.51042579        -137.41248099
    5800          48.68951523          15.52935901        -152.86318215        -137.33382314
    5900          50.00581475          15.94918836        -153.32324499        -137.37405663
    6000          59.07625766          18.84217597        -156.17667460        -137.33449863
    6100          50.52891389          16.11602910        -153.39201197        -137.27598288
    6200          47.38915269          15.11461270        -152.44108752        -137.32647482
    6300          54.48333686          17.37727915        -154.68435795        -137.30707880
    6400          50.15106695          15.99551607        -153.42443928        -137.42892321
    6500          57.08566839          18.20728414        -155.55803277        -137.35074862
    6600          51.80239867          16.52220283        -153.92356696        -137.40136413
    6700          52.86058756          16.85970866        -154.25686223        -137.39715357
    6800          51.23179794          16.34021163        -153.58448611        -137.24427448
    6900          54.61199882          17.41831546        -154.76916578        -137.35085032
    7000          53.59437264          17.09374697        -154.44014125        -137.34639428
    7100          51.92246036          16.56049611        -153.94617592        -137.38567981
    7200          47.26203907          15.07407023        -152.42037332        -137.34630309
    7300          56.48737612          18.01646081        -155.46131584        -137.44485502
    7400          50.33021962          16.05265622        -153.42202353        -137.36936732
    7500          48.21398627          15.37769063        -152.74300589        -137.36531526
    7600          56.44307532          18.00233122        -155.36375127        -137.36142005
    7700          56.88579078          18.14353384        -155.46662641        -137.32309257
    7800          51.79091168          16.51853909        -153.82924673        -137.31070764
    7900          53.96916843          17.21328684        -154.67960045        -137.46631361
    8000          51.62340823          16.46511443        -153.76344915        -137.29833473
    8100          51.19213926          16.32756262        -153.64466974        -137.31710712
    8200          53.06788261          16.92582473        -154.22867986        -137.30285513
    8300          53.01021898          16.90743310        -154.31194347        -137.40451037
    8400          52.72902270          16.81774649        -154.21427883        -137.39653235
    8500          50.21639603          16.01635256        -153.44838798        -137.43203542
    8600          53.95908200          17.21006981        -154.57569492        -137.36562511
    8700          48.11858771          15.34726357        -152.70035131        -137.35308773
    8800          50.30145655          16.04348233        -153.39678267        -137.35330034
    8900          47.64306926          15.19559855        -152.54486807        -137.34926953
    9000          49.63559487          15.83110796        -153.14909923        -137.31799126
    9100          53.22112438          16.97470068        -154.33967719        -137.36497651
    9200          52.37518289          16.70489045        -154.03553299        -137.33064254
